    40/299     6.89G   0.03996   0.01919   0.02548   0.08463        31       640    0.5974    0.4937    0.4994    0.2658   0.02213  0.007966   0.01176
    41/299     6.89G   0.03965   0.01957   0.02495   0.08417        21       640    0.5933    0.4642    0.4863    0.2661   0.02135  0.007683   0.01031
    42/299     6.89G    0.0392   0.01946    0.0261   0.08476        31       640    0.6366    0.5722    0.6072    0.3299   0.02201  0.007695  0.009558
    43/299     6.89G   0.03886   0.01934   0.02474   0.08295        27       640    0.5391    0.5755    0.5546     0.316   0.02041  0.007446    0.0101
    44/299     6.89G   0.03889   0.01916   0.02538   0.08343        45       640    0.6281      0.53     0.575     0.314   0.02164  0.007558  0.009887
    45/299     6.89G   0.03874   0.01944   0.02444   0.08261        13       640    0.5941    0.4646    0.5185    0.2951   0.02176  0.007211   0.01023
    46/299     6.89G   0.03902   0.01946   0.02422   0.08269        37       640    0.5622    0.5147    0.5381     0.306   0.02117  0.007383  0.009254
    47/299     6.89G   0.03901    0.0196   0.02387   0.08248        27       640    0.6365    0.5133    0.5751    0.3236   0.02068  0.007594  0.009708
    48/299     6.89G   0.03867   0.01914   0.02479    0.0826        43       640    0.6656    0.5443    0.6231    0.3452   0.02132  0.007173  0.009004
    49/299     6.89G   0.03844    0.0192    0.0243   0.08194        47       640    0.7016    0.5989    0.6548    0.3636   0.02099  0.007107  0.008579
    50/299     6.89G   0.03763   0.01927   0.02381   0.08071        37       640    0.5604    0.6178    0.6088    0.3489   0.02074  0.007457  0.008252
    51/299     6.89G   0.03809     0.019   0.02385   0.08095        42       640    0.5594    0.5777    0.5918    0.3345   0.01966  0.007196  0.009184
    52/299     6.89G   0.03748   0.01892    0.0228    0.0792        31       640    0.5812    0.5841    0.5939    0.3446    0.0198  0.007092  0.009165
    53/299     6.89G   0.03834   0.01966   0.02183   0.07982        58       640     0.626    0.6234    0.6476    0.3662   0.01989  0.006959  0.007882
    54/299     6.89G   0.03775   0.01903   0.02235   0.07912        32       640    0.5633    0.5929    0.5995    0.3459   0.01917  0.007372  0.008251
    55/299     6.89G   0.03809   0.01882   0.02245   0.07936        38       640    0.6426    0.5802    0.6371    0.3808   0.01931  0.006861  0.008461
    56/299     6.89G   0.03755   0.01912   0.02295   0.07962        32       640    0.4899    0.5994    0.5751    0.3398    0.0196  0.007379  0.007708
    57/299     6.89G   0.03763   0.01889   0.02279   0.07931        46       640    0.5983    0.6337    0.6375    0.3709   0.01965  0.007003  0.007232
    58/299     6.89G   0.03724   0.01862   0.02276   0.07862        35       640    0.5939    0.6626    0.6503    0.3675      0.02  0.007398  0.007391
    59/299     6.89G    0.0372   0.01846   0.02368   0.07934        12       640    0.6132    0.6539    0.6497    0.3759   0.01996  0.007015  0.007342
    60/299     6.89G   0.03693   0.01874   0.02282   0.07849        21       640    0.5557     0.684    0.6252     0.362   0.01948  0.007161  0.006702
    61/299     6.89G   0.03657   0.01875    0.0213   0.07662        27       640    0.5558    0.6618    0.6398    0.3798   0.01942  0.006792  0.006457
    62/299     6.89G    0.0373    0.0186   0.02138   0.07729        43       640    0.6599    0.6753    0.6694      0.39   0.01958  0.006771  0.007261
    63/299     6.89G   0.03775   0.01897   0.02208   0.07879        55       640    0.5835    0.6696      0.63    0.3769   0.01912  0.007056  0.007655
    64/299     6.89G   0.03739   0.01888    0.0221   0.07837        36       640    0.6361    0.6164     0.657    0.3869    0.0191  0.006725  0.006162
    65/299     6.89G   0.03641    0.0188   0.02133   0.07653        36       640    0.6216     0.713    0.6754    0.4027   0.01928  0.006955  0.005664
    66/299     6.89G   0.03694   0.01873   0.02068   0.07635        33       640    0.5601    0.6292    0.6234    0.3728   0.01901  0.006747  0.005584
    67/299     6.89G   0.03727   0.01871   0.02193   0.07791        40       640     0.603    0.6479    0.6482    0.3888   0.01918  0.006957   0.00604
    68/299     6.89G   0.03652   0.01893   0.02091   0.07636        35       640    0.6316    0.6527    0.6708    0.4014   0.01891  0.006749  0.005941
    69/299     6.89G   0.03671   0.01861   0.01963   0.07496        49       640    0.6174    0.7202    0.6969    0.4221   0.01838  0.006564  0.005227
    70/299      6.9G   0.03631   0.01852   0.02111   0.07594        23       640    0.6227    0.6965    0.6791     0.409   0.01823  0.006875   0.00581
    71/299      6.9G   0.03665   0.01828   0.02061   0.07555        32       640    0.6191     0.685    0.6669    0.4007   0.01835  0.006714  0.006014
    72/299      6.9G    0.0368   0.01855   0.01987   0.07522        26       640    0.6105    0.6834    0.6746    0.4107   0.01874  0.006687  0.005132
    73/299      6.9G   0.03592   0.01818   0.02014   0.07424        34       640    0.6719    0.6704    0.7079     0.431   0.01833  0.006574  0.005483
    74/299      6.9G   0.03596   0.01829   0.01993   0.07418        39       640    0.6845    0.6704     0.705     0.426     0.018  0.006647  0.005437
    75/299      6.9G    0.0355   0.01861    0.0202    0.0743        20       640     0.649    0.7126    0.7016    0.4254   0.01813  0.006349   0.00497
    76/299      6.9G   0.03557   0.01822   0.01941    0.0732        53       640    0.5953     0.683    0.6703    0.4049   0.01801  0.006633  0.005186
    77/299      6.9G    0.0363   0.01834   0.02016    0.0748        25       640     0.607    0.7364    0.7186    0.4263   0.01844  0.006878  0.005041
    78/299      6.9G   0.03552    0.0183   0.01885   0.07267        41       640    0.6211     0.686    0.6884    0.4179   0.01789  0.006395  0.004969
    79/299      6.9G    0.0354   0.01811   0.01896   0.07246        21       640    0.6406    0.7218    0.7272    0.4484   0.01825  0.006386  0.004362
    80/299      6.9G   0.03597   0.01838   0.01906   0.07341        23       640     0.655    0.6998     0.713    0.4431   0.01806  0.006394  0.004599
    81/299      6.9G   0.03556   0.01826   0.01876   0.07258        23       640     0.654    0.7072    0.7143    0.4395   0.01806  0.006295  0.004613
    82/299      6.9G   0.03632   0.01838   0.01907   0.07377        62       640    0.6346    0.7137    0.7046    0.4303   0.01787  0.006488  0.004198
    83/299      6.9G   0.03539   0.01823   0.01877   0.07238        44       640      0.64    0.7475    0.7223    0.4433   0.01747  0.006422  0.004254
    84/299      6.9G   0.03563   0.01815   0.01882    0.0726        59       640    0.6237     0.747    0.7176    0.4417   0.01756  0.006531  0.005166
    85/299      6.9G    0.0355    0.0182   0.01888   0.07258        36       640    0.6966    0.7079    0.7385    0.4564   0.01751  0.006283  0.004934
    86/299      6.9G   0.03453   0.01794   0.01787   0.07034        32       640     0.623    0.7437    0.7364    0.4589   0.01752  0.006289    0.0047
    87/299      6.9G   0.03499   0.01838   0.01907   0.07245        62       640    0.6318    0.7466    0.7038    0.4394   0.01768  0.006376   0.00457
    88/299      6.9G   0.03504   0.01823   0.01935   0.07263        52       640    0.6793    0.7206    0.7346    0.4598   0.01725   0.00614  0.004718
    89/299      6.9G   0.03547   0.01816   0.01871   0.07234        32       640    0.6267    0.7563     0.717     0.454   0.01732  0.006401  0.003854
    90/299      6.9G    0.0349   0.01801   0.01916   0.07207        25       640    0.6402    0.7848     0.755     0.474   0.01735  0.006223  0.003989
    91/299      6.9G   0.03377    0.0182   0.01806   0.07003        16       640    0.7036    0.7683    0.7822    0.4954   0.01721  0.006054  0.003477
    92/299      6.9G   0.03412   0.01775    0.0178   0.06967        32       640    0.6923    0.7558    0.7617    0.4886   0.01716  0.006079  0.003398
    93/299      6.9G   0.03468   0.01768   0.01801   0.07036        23       640    0.6648    0.7763    0.7559     0.479   0.01696  0.006163   0.00341
    94/299      6.9G   0.03458   0.01794   0.01863   0.07115        39       640    0.6683    0.7746    0.7589    0.4826   0.01671  0.006187  0.003608
    95/299      6.9G   0.03494   0.01783   0.01827   0.07104        28       640    0.7002    0.7741    0.7743    0.4951   0.01671  0.005922  0.003447
    96/299      6.9G   0.03411   0.01746   0.01763    0.0692        17       640    0.6753    0.7682    0.7549    0.4757   0.01662  0.006114  0.003807
    97/299      6.9G   0.03412   0.01747    0.0174     0.069        21       640    0.6499    0.7753    0.7527     0.475   0.01659  0.006058  0.003938
    98/299      6.9G   0.03413   0.01768   0.01732   0.06913        42       640    0.6765    0.7787    0.7659    0.4825   0.01698  0.006023   0.00408
    99/299      6.9G   0.03435    0.0179   0.01877   0.07102        49       640    0.7084    0.7732    0.7716    0.4849   0.01696  0.006025   0.00388
   100/299      6.9G   0.03427    0.0175   0.01653   0.06829        36       640     0.688    0.7859    0.7699    0.4924   0.01658  0.005959  0.003516
   101/299      6.9G   0.03384   0.01761   0.01678   0.06824        35       640    0.6919    0.7748    0.7674    0.4885   0.01639  0.006039  0.003482
   102/299      6.9G   0.03382   0.01717   0.01797   0.06895        16       640    0.6748    0.7976    0.7743    0.4986   0.01628  0.006029  0.003493
   103/299      6.9G   0.03367   0.01785   0.01761   0.06913        38       640    0.6838    0.8008    0.7896    0.5095    0.0163   0.00592  0.003362
   104/299      6.9G   0.03402   0.01776    0.0172   0.06898        41       640    0.6999    0.7929    0.7891    0.5062   0.01615  0.005946  0.003305
   105/299      6.9G   0.03329   0.01717   0.01759   0.06805        47       640    0.6896    0.7857    0.7831    0.5065   0.01621  0.005862  0.003315
   106/299      6.9G   0.03367   0.01774   0.01725   0.06866        45       640    0.7045    0.7782     0.791    0.5148   0.01608   0.00584  0.003289
   107/299      6.9G   0.03284   0.01756   0.01609    0.0665        32       640    0.6951    0.7999      0.79    0.5126   0.01602  0.005769  0.002953
   108/299      6.9G   0.03311   0.01737   0.01651     0.067        38       640    0.6917    0.8085    0.7947    0.5145   0.01596  0.005767  0.002959
   109/299      6.9G   0.03379   0.01711   0.01629   0.06719        37       640    0.7001    0.8109    0.7937    0.5167   0.01596  0.005768  0.003104
   110/299      6.9G   0.03364   0.01756   0.01629   0.06748        29       640    0.7108    0.8029    0.7844    0.5112   0.01562  0.005806  0.002977
   111/299      6.9G   0.03359   0.01741   0.01639   0.06738        27       640    0.7065    0.8065    0.7967    0.5192   0.01561  0.005758  0.002722
   112/299      6.9G   0.03275   0.01747   0.01635   0.06657        37       640    0.6675    0.8122    0.7819    0.5069   0.01572  0.005872  0.002557
   113/299      6.9G   0.03292   0.01716   0.01677   0.06685        25       640    0.7128    0.8049    0.8036    0.5212   0.01557  0.005681  0.002553
   114/299      6.9G   0.03362   0.01734   0.01586   0.06682        45       640     0.711    0.8131    0.8123    0.5306   0.01547  0.005734  0.002619
   115/299      6.9G    0.0333   0.01736   0.01664    0.0673        32       640    0.6879    0.8022    0.7888    0.5149   0.01553  0.005714  0.002609
   116/299      6.9G   0.03368   0.01756   0.01651   0.06775        19       640    0.7069    0.7984    0.7956    0.5267   0.01572  0.005663  0.002707
